# TimeStamp(s) Sum Stdev
0 0.748787 0.0121453
10 0.761425 0.0108159
20 0.770338 0.0118594
30 0.766062 0.013534
40 0.759225 0.0121365
50 0.765188 0.00839229
60 0.7529 0.0142101
70 0.7554 0.0133477
80 0.754513 0.0121806
90 0.7535 0.0130911
100 0.747212 0.0155496
110 0.768875 0.00950067
120 0.753738 0.0143109
130 0.748563 0.0111619
140 0.756063 0.0115046
150 0.753113 0.00946872
160 0.764462 0.0115617
170 0.749575 0.0133032
180 0.75265 0.0132275
190 0.7518 0.00674152
200 0.7575 0.0128352
210 0.750075 0.0140329
220 0.747463 0.0167278
230 0.758387 0.00986131
240 0.773563 0.00908936
250 0.757213 0.0128905
260 0.750975 0.00998586
270 0.750188 0.0128815
280 0.7636 0.0160475
290 0.689113 0.0135601
