# TimeStamp(s) Sum Stdev
0 2.06756e+09 7.90622e+08
10 2.06776e+09 8.84354e+08
20 2.0527e+09 8.86753e+08
30 2.09806e+09 6.80838e+08
40 1.98489e+09 4.2314e+08
50 2.04442e+09 5.80297e+08
60 2.08356e+09 8.46093e+08
70 2.08107e+09 7.7093e+08
80 2.04683e+09 3.2968e+08
90 2.05501e+09 8.14844e+08
100 2.03559e+09 7.1419e+08
110 2.08406e+09 8.62384e+08
120 2.06262e+09 8.01921e+08
130 2.00878e+09 6.25972e+08
140 2.05941e+09 4.08391e+08
150 2.0761e+09 8.64087e+08
160 1.90191e+09 5.97336e+08
170 2.00191e+09 6.14457e+08
180 2.02016e+09 8.82842e+08
190 2.09976e+09 7.86922e+08
200 2.09223e+09 8.07523e+08
210 2.07978e+09 8.46861e+08
220 2.08598e+09 8.47699e+08
230 2.06291e+09 8.98765e+08
240 2.06864e+09 8.70925e+08
250 2.09674e+09 7.89852e+08
260 1.96454e+09 5.18868e+08
270 2.06084e+09 8.57441e+08
280 2.03045e+09 4.76825e+08
289 2.05041e+09 6.94747e+08
