Linux 3.19.5-200.fc21.x86_64 (bark) 	07/24/2015 	_x86_64_	(8 CPU)

11:32:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:32:49 PM  all    2.42    0.00   29.43    0.01    0.00    6.04    0.00   41.22    0.00   20.87
11:32:49 PM    0    2.47    0.00   29.53    0.00    0.00    8.33    0.00   37.04    0.00   22.63
11:32:49 PM    1    2.67    0.00   29.64    0.00    0.00    7.38    0.00   34.36    0.00   25.95
11:32:49 PM    2    2.65    0.00   26.07    0.10    0.00    3.05    0.00   52.44    0.00   15.68
11:32:49 PM    3    2.34    0.00   23.24    0.00    0.00    3.26    0.00   54.13    0.00   17.02
11:32:49 PM    4    2.70    0.00   36.83    0.00    0.00    9.85    0.00   21.37    0.00   29.25
11:32:49 PM    5    2.06    0.00   33.57    0.00    0.00    6.80    0.00   33.88    0.00   23.69
11:32:49 PM    6    2.37    0.00   28.94    0.00    0.00    4.84    0.00   46.24    0.00   17.61
11:32:49 PM    7    1.94    0.00   27.76    0.00    0.00    4.90    0.00   49.90    0.00   15.51

11:32:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:32:59 PM  all    2.43    0.00   29.92    0.00    0.00    6.02    0.00   41.42    0.00   20.21
11:32:59 PM    0    2.16    0.00   30.90    0.00    0.00    4.52    0.00   45.17    0.00   17.25
11:32:59 PM    1    3.09    0.00   34.02    0.00    0.00    7.22    0.00   26.29    0.00   29.38
11:32:59 PM    2    1.84    0.00   19.92    0.00    0.00    3.58    0.00   59.55    0.00   15.12
11:32:59 PM    3    2.69    0.00   35.68    0.10    0.00    5.58    0.00   25.23    0.00   30.71
11:32:59 PM    4    3.38    0.00   27.46    0.00    0.00    4.61    0.00   51.43    0.00   13.11
11:32:59 PM    5    2.16    0.00   33.98    0.00    0.00    9.24    0.00   32.85    0.00   21.77
11:32:59 PM    6    2.45    0.00   28.60    0.00    0.00    6.03    0.00   50.66    0.00   12.26
11:32:59 PM    7    1.97    0.00   28.88    0.00    0.00    7.25    0.00   39.86    0.00   22.05

11:32:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:33:09 PM  all    2.39    0.00   29.75    0.00    0.00    6.12    0.00   41.22    0.00   20.52
11:33:09 PM    0    2.69    0.00   27.20    0.00    0.00    6.93    0.00   34.44    0.00   28.75
11:33:09 PM    1    1.43    0.00   24.00    0.00    0.00    5.31    0.00   52.20    0.00   17.06
11:33:09 PM    2    1.21    0.00   24.47    0.00    0.00    3.54    0.00   58.95    0.00   11.83
11:33:09 PM    3    2.58    0.00   34.09    0.00    0.00    4.75    0.00   32.33    0.00   26.24
