Linux 3.19.5-200.fc21.x86_64 (bark) 	07/24/2015 	_x86_64_	(8 CPU)

11:49:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:49:20 PM  all    1.41    0.00   33.74    0.01    0.00    8.34    0.00   39.61    0.00   16.90
11:49:20 PM    0    1.02    0.00   30.35    0.10    0.00    6.42    0.00   47.76    0.00   14.36
11:49:20 PM    1    1.44    0.00   31.01    0.00    0.00    8.01    0.00   38.19    0.00   21.36
11:49:20 PM    2    1.03    0.00   34.09    0.00    0.00    6.78    0.00   37.27    0.00   20.84
11:49:20 PM    3    1.74    0.00   34.76    0.00    0.00    8.38    0.00   36.09    0.00   19.02
11:49:20 PM    4    1.73    0.00   35.13    0.00    0.00    8.15    0.00   42.46    0.00   12.53
11:49:20 PM    5    1.54    0.00   38.46    0.00    0.00    9.23    0.00   33.03    0.00   17.74
11:49:20 PM    6    1.54    0.00   30.91    0.00    0.00    9.83    0.00   41.04    0.00   16.68
11:49:20 PM    7    0.92    0.00   35.28    0.00    0.00    9.82    0.00   41.10    0.00   12.88

11:49:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:49:30 PM  all    1.43    0.00   34.20    0.01    0.00    8.72    0.00   39.31    0.00   16.34
11:49:30 PM    0    1.32    0.00   26.60    0.10    0.00    9.24    0.00   43.65    0.00   19.09
11:49:30 PM    1    1.43    0.00   34.83    0.00    0.00    7.74    0.00   40.02    0.00   15.99
11:49:30 PM    2    1.52    0.00   34.76    0.00    0.00    5.89    0.00   41.36    0.00   16.46
11:49:30 PM    3    1.12    0.00   39.29    0.00    0.00    8.78    0.00   33.37    0.00   17.45
11:49:30 PM    4    1.32    0.00   32.11    0.00    0.00   13.01    0.00   38.92    0.00   14.63
11:49:30 PM    5    1.53    0.00   35.20    0.00    0.00   10.00    0.00   36.84    0.00   16.43
11:49:30 PM    6    1.42    0.00   32.79    0.00    0.00    8.00    0.00   47.06    0.00   10.73
11:49:30 PM    7    1.96    0.00   37.98    0.00    0.00    7.33    0.00   32.82    0.00   19.92

11:49:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
