# TimeStamp(s) Sum Stdev
0 0.5225 0.0492221
10 0.473375 0.035961
20 0.384512 0.0337473
30 0.261975 0.0407976
40 0.377213 0.0332671
50 0.282062 0.0396409
60 0.341937 0.0241608
70 0.271188 0.0324606
80 0.40825 0.0454088
90 0.410063 0.0726885
100 0.429775 0.0486531
110 0.364075 0.0414444
120 0.2545 0.0231391
130 0.344562 0.0362537
140 0.363375 0.0419166
150 0.256312 0.031217
160 0.350125 0.0577872
170 0.30615 0.0353829
180 0.331138 0.0523347
190 0.264338 0.0436702
200 0.32625 0.0261404
210 0.405925 0.0702698
220 0.407662 0.0588708
230 0.395575 0.0605532
240 0.366475 0.0319818
250 0.443175 0.0347135
260 0.488175 0.038429
270 0.42285 0.0473108
280 0.2845 0.0315511
290 0.396038 0.0398387
