Linux 3.19.5-200.fc21.x86_64 (bark) 	07/25/2015 	_x86_64_	(8 CPU)

12:11:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:20 AM  all    1.31    0.00   35.67    0.01    0.00    4.37    0.00   34.48    0.00   24.16
12:11:20 AM    0    1.42    0.00   36.92    0.00    0.00    4.77    0.00   33.06    0.00   23.83
12:11:20 AM    1    1.52    0.00   35.57    0.00    0.00    3.96    0.00   35.26    0.00   23.68
12:11:20 AM    2    1.01    0.00   35.79    0.00    0.00    4.25    0.00   33.57    0.00   25.38
12:11:20 AM    3    1.42    0.00   35.57    0.00    0.00    4.57    0.00   30.28    0.00   28.15
12:11:20 AM    4    1.12    0.00   35.06    0.00    0.00    4.47    0.00   35.16    0.00   24.19
12:11:20 AM    5    1.62    0.00   33.77    0.00    0.00    4.55    0.00   39.53    0.00   20.53
12:11:20 AM    6    1.43    0.00   35.76    0.00    0.00    3.18    0.00   36.48    0.00   23.16
12:11:20 AM    7    1.02    0.00   36.97    0.00    0.00    5.19    0.00   32.38    0.00   24.44

12:11:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:30 AM  all    1.38    0.00   35.39    0.06    0.00    4.32    0.00   34.61    0.00   24.24
12:11:30 AM    0    1.23    0.00   36.77    0.51    0.00    5.11    0.00   26.56    0.00   29.83
12:11:30 AM    1    1.44    0.00   36.97    0.00    0.00    4.33    0.00   31.82    0.00   25.44
12:11:30 AM    2    1.52    0.00   30.79    0.00    0.00    3.15    0.00   43.50    0.00   21.04
12:11:30 AM    3    1.43    0.00   36.37    0.00    0.00    4.61    0.00   26.95    0.00   30.64
12:11:30 AM    4    1.32    0.00   36.61    0.00    0.00    5.07    0.00   33.06    0.00   23.94
12:11:30 AM    5    1.23    0.00   35.99    0.00    0.00    4.09    0.00   37.01    0.00   21.68
12:11:30 AM    6    1.11    0.00   31.36    0.00    0.00    2.51    0.00   49.85    0.00   15.18
12:11:30 AM    7    1.43    0.00   38.30    0.00    0.00    5.72    0.00   28.19    0.00   26.35

12:11:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:40 AM  all    1.43    0.00   35.48    0.05    0.00    4.33    0.00   34.46    0.00   24.26
12:11:40 AM    0    1.22    0.00   33.57    0.31    0.00    4.37    0.00   38.96    0.00   21.57
12:11:40 AM    1    1.54    0.00   35.45    0.10    0.00    3.28    0.00   34.73    0.00   24.90
12:11:40 AM    2    1.12    0.00   36.94    0.00    0.00    4.59    0.00   27.45    0.00   29.90
12:11:40 AM    3    1.43    0.00   39.31    0.00    0.00    4.89    0.00   26.27    0.00   28.11
12:11:40 AM    4    1.42    0.00   32.45    0.00    0.00    3.75    0.00   44.93    0.00   17.44
12:11:40 AM    5    1.73    0.00   34.93    0.00    0.00    4.18    0.00   35.44    0.00   23.73
12:11:40 AM    6    1.63    0.00   35.26    0.00    0.00    4.67    0.00   35.47    0.00   22.97
12:11:40 AM    7    1.43    0.00   36.02    0.00    0.00    4.90    0.00   32.24    0.00   25.41

12:11:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:11:50 AM  all    1.31    0.00   35.64    0.04    0.00    4.37    0.00   34.43    0.00   24.22
12:11:50 AM    0    1.43    0.00   35.07    0.00    0.00    4.59    0.00   34.25    0.00   24.67
12:11:50 AM    1    1.42    0.00   34.04    0.20    0.00    4.26    0.00   36.17    0.00   23.91
12:11:50 AM    2    1.43    0.00   35.75    0.00    0.00    4.19    0.00   32.07    0.00   26.56
12:11:50 AM    3    1.53    0.00   35.78    0.00    0.00    3.77    0.00   32.62    0.00   26.30
12:11:50 AM    4    0.92    0.00   37.31    0.00    0.00    4.69    0.00   34.66    0.00   22.43
12:11:50 AM    5    1.22    0.00   33.27    0.00    0.00    4.17    0.00   40.18    0.00   21.16
12:11:50 AM    6    1.42    0.00   36.47    0.00    0.00    4.56    0.00   34.75    0.00   22.80
12:11:50 AM    7    1.23    0.00   37.46    0.00    0.00    4.71    0.00   30.60    0.00   26.00

12:11:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:12:00 AM  all    1.36    0.00   35.77    0.03    0.00    4.32    0.00   34.77    0.00   23.75
12:12:00 AM    0    1.33    0.00   38.37    0.10    0.00    4.29    0.00   27.35    0.00   28.57
12:12:00 AM    1    1.22    0.00   36.39    0.00    0.00    4.59    0.00   33.84    0.00   23.96
12:12:00 AM    2    1.53    0.00   34.08    0.10    0.00    3.98    0.00   33.27    0.00   27.04
12:12:00 AM    3    1.32    0.00   33.98    0.10    0.00    3.36    0.00   40.49    0.00   20.75
12:12:00 AM    4    1.12    0.00   39.39    0.00    0.00    5.61    0.00   27.96    0.00   25.92
12:12:00 AM    5    1.12    0.00   34.93    0.00    0.00    3.77    0.00   39.71    0.00   20.47
12:12:00 AM    6    1.43    0.00   36.56    0.00    0.00    5.09    0.00   32.59    0.00   24.34
12:12:00 AM    7    1.53    0.00   32.48    0.00    0.00    3.87    0.00   42.97    0.00   19.14

12:12:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:12:10 AM  all    1.30    0.00   35.77    0.00    0.00    4.26    0.00   34.59    0.00   24.08
12:12:10 AM    0    1.32    0.00   32.83    0.00    0.00    3.55    0.00   41.95    0.00   20.36
12:12:10 AM    1    1.43    0.00   34.56    0.00    0.00    4.19    0.00   33.03    0.00   26.79
12:12:10 AM    2    1.62    0.00   35.69    0.00    0.00    4.55    0.00   29.32    0.00   28.82
12:12:10 AM    3    1.42    0.00   38.56    0.00    0.00    5.60    0.00   24.52    0.00   29.91
12:12:10 AM    4    1.52    0.00   32.59    0.00    0.00    2.74    0.00   46.80    0.00   16.35
12:12:10 AM    5    1.01    0.00   37.99    0.00    0.00    4.36    0.00   33.94    0.00   22.70
12:12:10 AM    6    1.12    0.00   37.33    0.00    0.00    4.48    0.00   33.98    0.00   23.09
12:12:10 AM    7    1.12    0.00   36.73    0.00    0.00    4.59    0.00   33.16    0.00   24.39

12:12:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:12:20 AM  all    1.30    0.00   35.73    0.00    0.00    4.22    0.00   34.63    0.00   24.11
12:12:20 AM    0    1.53    0.00   35.50    0.00    0.00    3.56    0.00   31.84    0.00   27.57
12:12:20 AM    1    1.03    0.00   35.91    0.00    0.00    4.73    0.00   32.10    0.00   26.23
