# TimeStamp(s) Sum Stdev
0 1.01447e+10 3.10778e+09
10 1.00943e+10 2.50667e+09
20 1.03379e+10 3.55318e+09
30 1.01895e+10 2.96934e+09
40 1.01468e+10 2.65349e+09
50 1.00917e+10 3.14286e+09
60 1.03211e+10 3.01115e+09
70 1.0213e+10 3.10359e+09
80 1.02572e+10 2.68501e+09
90 9.98664e+09 3.00396e+09
100 1.00439e+10 2.70949e+09
110 1.01145e+10 2.89739e+09
120 1.01082e+10 2.52172e+09
130 1.01487e+10 3.28241e+09
140 1.0216e+10 2.84201e+09
150 1.02702e+10 3.02032e+09
160 1.0179e+10 2.8826e+09
170 1.0348e+10 2.82882e+09
180 1.02709e+10 3.12756e+09
190 1.02477e+10 2.57358e+09
200 1.02165e+10 2.58258e+09
210 1.01324e+10 3.04743e+09
220 1.01468e+10 3.31782e+09
230 1.02976e+10 3.31206e+09
240 1.01769e+10 3.02885e+09
250 1.01648e+10 2.92936e+09
260 1.01642e+10 3.04101e+09
270 1.00172e+10 2.71381e+09
280 1.02847e+10 3.0596e+09
289 1.01843e+10 2.84717e+09
