# TestOK BufferSize(B) BW(b/s) Stdev(b/s) BW(Mb/s)
1 32 2.95076e+08 3.25913e+07 281.407
1 64 8.37629e+08 3.25947e+07 798.825
1 128 1.57955e+09 6.46209e+07 1506.38
1 256 2.05082e+09 4.29692e+07 1955.82
1 512 3.60508e+09 5.98946e+07 3438.07
1 1024 5.66188e+09 7.36895e+07 5399.59
1 2048 5.59458e+09 8.81486e+07 5335.41
1 4096 1.01838e+10 8.98715e+07 9712.07
1 8192 1.63335e+10 1.48001e+08 15576.8
1 16384 2.69367e+10 2.26138e+08 25688.8
0 32768 3.78084e+10 1.12957e+08 36056.9
0 65536 4.29016e+10 1.41327e+08 40914.2
