Linux 3.19.5-200.fc21.x86_64 (bark) 	07/24/2015 	_x86_64_	(8 CPU)

10:59:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:59:48 PM  all    1.30    0.00   14.50    0.00    0.00    9.01    0.00   30.59    0.00   44.61
10:59:48 PM    0    1.51    0.00   12.51    0.10    0.00    5.65    0.00   30.68    0.00   49.55
10:59:48 PM    1    1.30    0.00   12.61    0.00    0.00    6.01    0.00   36.74    0.00   43.34
10:59:48 PM    2    1.01    0.00   14.79    0.00    0.00    8.45    0.00   22.03    0.00   53.72
10:59:48 PM    3    0.90    0.00   14.23    0.00    0.00    8.82    0.00   20.54    0.00   55.51
10:59:48 PM    4    2.02    0.00   13.33    0.00    0.00    2.93    0.00   51.01    0.00   30.71
10:59:48 PM    5    1.42    0.00   15.81    0.00    0.00   11.65    0.00   36.47    0.00   34.65
10:59:48 PM    6    0.81    0.00   16.72    0.00    0.00   16.62    0.00   13.09    0.00   52.77
10:59:48 PM    7    1.61    0.00   16.08    0.00    0.00   11.86    0.00   33.97    0.00   36.48

10:59:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:59:58 PM  all    1.27    0.00   15.03    0.04    0.00    9.52    0.00   29.01    0.00   45.14
10:59:58 PM    0    1.41    0.00   14.57    0.20    0.00    8.94    0.00   28.84    0.00   46.03
10:59:58 PM    1    1.31    0.00   15.61    0.00    0.00    9.47    0.00   26.28    0.00   47.33
10:59:58 PM    2    0.91    0.00   14.39    0.00    0.00    9.96    0.00   19.62    0.00   55.13
10:59:58 PM    3    1.00    0.00   16.20    0.00    0.00   12.10    0.00   13.70    0.00   57.00
10:59:58 PM    4    1.21    0.00   15.24    0.00    0.00    8.78    0.00   41.98    0.00   32.80
10:59:58 PM    5    1.30    0.00   13.93    0.00    0.00    8.22    0.00   50.70    0.00   25.85
10:59:58 PM    6    1.31    0.00   15.15    0.00    0.00    9.39    0.00   26.16    0.00   47.98
10:59:58 PM    7    1.60    0.00   15.03    0.00    0.00    9.42    0.00   25.05    0.00   48.90

10:59:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:08 PM  all    1.15    0.00   14.05    0.08    0.00    8.35    0.00   27.06    0.00   49.33
11:00:08 PM    0    1.61    0.00   12.89    0.00    0.00    5.04    0.00   31.82    0.00   48.64
11:00:08 PM    1    0.80    0.00   13.67    0.00    0.00    6.13    0.00   17.39    0.00   62.01
11:00:08 PM    2    1.10    0.00   11.35    0.60    0.00    5.32    0.00   23.69    0.00   57.93
11:00:08 PM    3    1.11    0.00   14.29    0.00    0.00    9.12    0.00   20.87    0.00   54.61
11:00:08 PM    4    1.11    0.00   15.52    0.00    0.00    9.17    0.00   28.43    0.00   45.77
11:00:08 PM    5    1.41    0.00   12.00    0.00    0.00    5.44    0.00   39.62    0.00   41.53
11:00:08 PM    6    1.10    0.00   15.06    0.10    0.00   10.74    0.00   29.42    0.00   43.57
11:00:08 PM    7    0.91    0.00   17.74    0.00    0.00   15.73    0.00   25.10    0.00   40.52

11:00:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:18 PM  all    1.23    0.00   14.95    0.04    0.00    8.94    0.00   27.24    0.00   47.61
11:00:18 PM    0    1.01    0.00   14.27    0.00    0.00    8.30    0.00   23.79    0.00   52.63
11:00:18 PM    1    1.41    0.00   12.07    0.00    0.00    3.82    0.00   26.36    0.00   56.34
11:00:18 PM    2    1.30    0.00   12.10    0.30    0.00    6.60    0.00   26.80    0.00   52.90
11:00:18 PM    3    1.11    0.00   15.48    0.00    0.00   10.75    0.00   14.67    0.00   57.99
11:00:18 PM    4    1.50    0.00   14.43    0.00    0.00    4.71    0.00   46.59    0.00   32.77
11:00:18 PM    5    1.10    0.00   16.77    0.00    0.00   10.14    0.00   27.51    0.00   44.48
11:00:18 PM    6    1.51    0.00   17.00    0.00    0.00   12.88    0.00   30.99    0.00   37.63
11:00:18 PM    7    1.00    0.00   17.57    0.00    0.00   14.46    0.00   20.98    0.00   45.98

11:00:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:28 PM  all    1.24    0.00   14.31    0.10    0.00    8.94    0.00   27.16    0.00   48.24
11:00:28 PM    0    0.70    0.00   13.61    0.20    0.00    9.31    0.00   11.91    0.00   64.26
11:00:28 PM    1    1.10    0.00   11.02    0.30    0.00    3.71    0.00   26.85    0.00   57.01
11:00:28 PM    2    1.61    0.00   15.91    0.00    0.00    7.75    0.00   31.12    0.00   43.61
11:00:28 PM    3    0.60    0.00   13.87    0.30    0.00   10.95    0.00    9.35    0.00   64.92
11:00:28 PM    4    1.11    0.00   14.21    0.00    0.00   11.29    0.00   22.08    0.00   51.31
11:00:28 PM    5    1.61    0.00   14.30    0.00    0.00    7.05    0.00   53.58    0.00   23.46
11:00:28 PM    6    1.62    0.00   17.95    0.00    0.00   15.62    0.00   20.18    0.00   44.62
11:00:28 PM    7    1.71    0.00   13.38    0.00    0.00    5.84    0.00   42.35    0.00   36.72

11:00:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:38 PM  all    1.22    0.00   14.09    0.03    0.00    8.85    0.00   27.54    0.00   48.27
11:00:38 PM    0    1.01    0.00   12.16    0.00    0.00    6.63    0.00   25.53    0.00   54.67
11:00:38 PM    1    1.41    0.00   14.26    0.00    0.00    6.93    0.00   33.43    0.00   43.98
11:00:38 PM    2    0.80    0.00   11.13    0.00    0.00    6.52    0.00   15.85    0.00   65.70
11:00:38 PM    3    1.21    0.00   12.71    0.30    0.00    3.94    0.00   28.86    0.00   52.98
11:00:38 PM    4    1.30    0.00   16.73    0.00    0.00   13.73    0.00   34.57    0.00   33.67
11:00:38 PM    5    1.71    0.00   12.89    0.00    0.00    5.84    0.00   34.74    0.00   44.81
11:00:38 PM    6    0.50    0.00   16.53    0.00    0.00   16.33    0.00   11.52    0.00   55.11
11:00:38 PM    7    1.71    0.00   16.37    0.00    0.00   10.84    0.00   35.84    0.00   35.24

11:00:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:48 PM  all    1.14    0.00   13.76    0.04    0.00    8.42    0.00   25.93    0.00   50.71
11:00:48 PM    0    0.91    0.00   13.00    0.00    0.00    7.76    0.00   17.54    0.00   60.79
11:00:48 PM    1    1.00    0.00   11.72    0.20    0.00    3.71    0.00   20.04    0.00   63.33
11:00:48 PM    2    1.31    0.00   10.78    0.00    0.00    3.42    0.00   30.11    0.00   54.38
11:00:48 PM    3    1.20    0.00   13.86    0.00    0.00    7.43    0.00   25.50    0.00   52.01
11:00:48 PM    4    1.11    0.00   15.21    0.00    0.00   11.58    0.00   31.72    0.00   40.38
11:00:48 PM    5    0.91    0.00   16.01    0.00    0.00   12.39    0.00   19.23    0.00   51.46
11:00:48 PM    6    1.71    0.00   11.67    0.00    0.00    3.62    0.00   46.78    0.00   36.22
11:00:48 PM    7    1.01    0.00   18.03    0.00    0.00   17.42    0.00   16.62    0.00   46.93

11:00:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:58 PM  all    1.23    0.00   14.26    0.00    0.00    8.93    0.00   26.49    0.00   49.09
11:00:58 PM    0    1.41    0.00   12.20    0.00    0.00    4.54    0.00   34.68    0.00   47.18
11:00:58 PM    1    1.31    0.00   13.58    0.00    0.00    7.95    0.00   22.03    0.00   55.13
11:00:58 PM    2    1.21    0.00   13.68    0.00    0.00    8.65    0.00   21.13    0.00   55.33
11:00:58 PM    3    1.41    0.00   11.77    0.00    0.00    4.23    0.00   19.42    0.00   63.18
11:00:58 PM    4    1.31    0.00   16.18    0.00    0.00   10.82    0.00   28.31    0.00   43.38
11:00:58 PM    5    0.80    0.00   18.07    0.00    0.00   17.77    0.00   14.46    0.00   48.90
11:00:58 PM    6    0.80    0.00   16.18    0.00    0.00   14.37    0.00   25.53    0.00   43.12
11:00:58 PM    7    1.71    0.00   12.14    0.00    0.00    3.31    0.00   46.24    0.00   36.61

11:00:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:08 PM  all    1.24    0.00   13.81    0.03    0.00    8.67    0.00   26.59    0.00   49.67
11:01:08 PM    0    1.31    0.00   13.00    0.20    0.00    5.75    0.00   25.91    0.00   53.83
11:01:08 PM    1    0.90    0.00   12.89    0.00    0.00    7.69    0.00   22.28    0.00   56.24
