# TimeStamp(s) Sum Stdev
0 0.56435 0.0906751
10 0.522175 0.0701733
20 0.509838 0.0671642
30 0.554 0.055932
40 0.55775 0.0834867
50 0.578937 0.134931
60 0.511075 0.057246
70 0.527025 0.0602503
80 0.551837 0.0985336
90 0.5569 0.081398
100 0.5609 0.0985226
110 0.564675 0.0911492
120 0.519225 0.064215
130 0.531675 0.0612931
140 0.542512 0.0825643
150 0.561725 0.0962122
160 0.56565 0.087413
170 0.502812 0.0555064
180 0.507475 0.0527816
190 0.505375 0.0860156
200 0.504613 0.0708647
210 0.509588 0.0601269
220 0.534887 0.0651927
230 0.555212 0.106819
240 0.56615 0.0825364
250 0.50705 0.0844481
260 0.52085 0.0666406
270 0.532112 0.0752542
280 0.504037 0.0754871
290 0.4589 0.0693908
