# TimeStamp(s) Sum Stdev
0 0.632937 0.0337806
10 0.619038 0.0186638
20 0.63065 0.0465422
30 0.590662 0.0319894
40 0.606363 0.0196893
50 0.63225 0.0394586
60 0.615263 0.0322708
70 0.605487 0.0392932
80 0.61035 0.0422834
90 0.606712 0.039905
100 0.610162 0.02987
110 0.607825 0.044065
120 0.607975 0.0361622
130 0.586625 0.0390564
140 0.56095 0.0414745
150 0.574963 0.0369767
160 0.578713 0.0403435
170 0.605712 0.047186
180 0.576025 0.0199813
190 0.606325 0.0497591
200 0.58795 0.0361209
210 0.575288 0.0340671
220 0.6042 0.0177206
230 0.591225 0.0400077
240 0.57595 0.0304198
250 0.608562 0.0412828
260 0.609075 0.0404489
270 0.603638 0.0340468
280 0.615962 0.0354353
290 0.53195 0.0425786
