Linux 3.19.5-200.fc21.x86_64 (bark) 	07/24/2015 	_x86_64_	(8 CPU)

10:32:06 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:32:16 PM  all    3.81    0.00   22.35    0.00    0.00    3.35    0.00   26.28    0.00   44.22
10:32:16 PM    0    2.52    0.00   17.64    0.00    0.00    4.33    0.00   15.83    0.00   59.68
10:32:16 PM    1    2.21    0.00   17.61    0.00    0.00    6.24    0.00   18.91    0.00   55.03
10:32:16 PM    2    3.20    0.00   18.52    0.00    0.00    2.70    0.00   22.62    0.00   52.95
10:32:16 PM    3    3.32    0.00   21.31    0.00    0.00    5.43    0.00   27.64    0.00   42.31
10:32:16 PM    4    5.03    0.00   27.36    0.00    0.00    1.31    0.00   30.08    0.00   36.22
10:32:16 PM    5    3.92    0.00   22.51    0.00    0.00    3.82    0.00   29.05    0.00   40.70
10:32:16 PM    6    5.62    0.00   29.09    0.00    0.00    1.60    0.00   36.21    0.00   27.48
10:32:16 PM    7    4.44    0.00   24.70    0.00    0.00    1.51    0.00   30.04    0.00   39.31

10:32:16 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:32:26 PM  all    3.70    0.00   21.92    0.05    0.00    3.29    0.00   25.53    0.00   45.51
10:32:26 PM    0    4.20    0.00   23.22    0.00    0.00    3.40    0.00   29.23    0.00   39.94
10:32:26 PM    1    2.92    0.00   17.81    0.20    0.00    2.82    0.00   17.61    0.00   58.65
10:32:26 PM    2    2.10    0.00   16.33    0.20    0.00    8.82    0.00   13.33    0.00   59.22
10:32:26 PM    3    3.51    0.00   20.68    0.00    0.00    3.21    0.00   23.80    0.00   48.80
10:32:26 PM    4    4.92    0.00   29.55    0.00    0.00    0.80    0.00   32.56    0.00   32.16
10:32:26 PM    5    3.71    0.00   20.96    0.00    0.00    2.51    0.00   30.09    0.00   42.73
10:32:26 PM    6    5.52    0.00   27.61    0.00    0.00    1.41    0.00   40.36    0.00   25.10
10:32:26 PM    7    2.82    0.00   19.22    0.00    0.00    3.22    0.00   17.20    0.00   57.55

10:32:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:32:36 PM  all    3.75    0.00   21.55    0.03    0.00    3.19    0.00   25.61    0.00   45.87
10:32:36 PM    0    3.23    0.00   18.47    0.00    0.00    2.72    0.00   19.98    0.00   55.60
10:32:36 PM    1    2.32    0.00   16.73    0.00    0.00    2.82    0.00   17.14    0.00   60.99
10:32:36 PM    2    2.12    0.00   15.32    0.20    0.00    3.83    0.00   15.12    0.00   63.41
10:32:36 PM    3    2.33    0.00   19.94    0.00    0.00   10.02    0.00   17.61    0.00   50.10
10:32:36 PM    4    4.21    0.00   23.75    0.00    0.00    1.10    0.00   26.65    0.00   44.29
10:32:36 PM    5    4.82    0.00   25.33    0.00    0.00    2.31    0.00   26.53    0.00   41.01
10:32:36 PM    6    5.22    0.00   24.80    0.00    0.00    2.51    0.00   32.53    0.00   34.94
10:32:36 PM    7    5.72    0.00   27.91    0.00    0.00    0.40    0.00   49.10    0.00   16.87

10:32:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:32:46 PM  all    3.92    0.00   23.40    0.00    0.00    3.58    0.00   26.64    0.00   42.46
10:32:46 PM    0    2.61    0.00   17.79    0.00    0.00    5.23    0.00   13.07    0.00   61.31
10:32:46 PM    1    2.11    0.00   14.59    0.00    0.00    5.03    0.00    9.36    0.00   68.91
10:32:46 PM    2    3.90    0.00   23.32    0.00    0.00    2.80    0.00   23.42    0.00   46.55
10:32:46 PM    3    2.00    0.00   17.54    0.00    0.00    9.42    0.00    9.02    0.00   62.02
10:32:46 PM    4    5.43    0.00   29.35    0.00    0.00    2.41    0.00   38.19    0.00   24.62
10:32:46 PM    5    5.92    0.00   31.22    0.00    0.00    0.00    0.00   59.34    0.00    3.51
10:32:46 PM    6    2.81    0.00   20.00    0.00    0.00    3.02    0.00   18.09    0.00   56.08
10:32:46 PM    7    6.74    0.00   33.30    0.00    0.00    0.70    0.00   42.66    0.00   16.60

10:32:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:32:56 PM  all    3.73    0.00   21.43    0.03    0.00    3.31    0.00   24.61    0.00   46.89
10:32:56 PM    0    3.32    0.00   19.84    0.00    0.00    4.93    0.00   22.66    0.00   49.24
10:32:56 PM    1    3.52    0.00   20.04    0.30    0.00    2.01    0.00   20.14    0.00   53.98
10:32:56 PM    2    2.91    0.00   20.48    0.00    0.00    3.61    0.00   19.38    0.00   53.61
10:32:56 PM    3    2.71    0.00   15.68    0.00    0.00    2.61    0.00   16.58    0.00   62.41
10:32:56 PM    4    4.52    0.00   23.90    0.00    0.00    3.92    0.00   27.41    0.00   40.26
