# TimeStamp(s) Sum Stdev
0 4.02198e+08 6.81606e+06
10 3.71321e+08 2.24111e+06
20 3.62403e+08 1.77783e+07
30 3.60027e+08 6.85451e+06
40 3.64347e+08 5.69481e+06
50 3.3897e+08 9.5014e+06
60 3.68761e+08 8.4074e+06
70 3.53259e+08 7.60019e+06
80 3.53711e+08 1.37949e+07
90 3.54295e+08 3.7802e+06
100 3.43831e+08 7.02313e+06
110 3.53546e+08 6.06097e+06
120 3.45604e+08 8.96734e+06
130 3.49257e+08 2.35703e+06
140 3.51362e+08 3.09924e+06
150 3.71644e+08 6.43425e+06
160 3.56697e+08 9.00095e+06
170 3.70069e+08 8.79407e+06
180 3.70542e+08 8.71786e+06
190 3.48456e+08 9.86879e+06
200 3.55709e+08 1.07133e+07
210 3.58635e+08 1.0647e+07
220 3.53371e+08 1.14652e+07
230 3.56301e+08 7.86931e+06
240 3.56006e+08 6.9316e+06
250 3.51763e+08 7.16887e+06
260 3.4652e+08 1.33965e+07
270 3.59193e+08 7.96908e+06
280 3.61297e+08 1.04596e+07
289 3.58182e+08 6.40576e+06
