# TimeStamp(s) Sum Stdev
0 8.77516e+09 2.17765e+09
10 9.24458e+09 2.17543e+09
20 9.00839e+09 2.09673e+09
30 8.87464e+09 2.16485e+09
40 8.87562e+09 2.0832e+09
50.25 8.27785e+09 1.578e+09
60 8.97512e+09 2.15869e+09
70 8.67055e+09 1.63813e+09
80 8.9607e+09 1.95343e+09
90 8.72978e+09 1.97174e+09
100 8.96443e+09 2.30385e+09
110 8.99427e+09 2.29138e+09
120 9.49535e+09 2.51747e+09
130 9.41689e+09 2.52292e+09
140 8.93561e+09 1.87718e+09
150 9.02737e+09 2.31115e+09
160 9.36968e+09 2.41834e+09
170 9.03162e+09 2.01975e+09
180 8.46672e+09 1.91053e+09
190 9.10006e+09 2.14977e+09
200 8.89251e+09 1.99527e+09
210 9.18674e+09 2.66575e+09
220 9.44339e+09 2.62465e+09
230 8.74574e+09 1.77648e+09
240 8.87773e+09 2.21673e+09
250 9.33678e+09 2.15605e+09
260 8.85952e+09 2.28228e+09
270 9.35374e+09 2.30678e+09
280 9.17764e+09 2.39903e+09
289.25 9.00477e+09 2.13256e+09
