# TestOK BufferSize(B) BW(b/s) Stdev(b/s) BW(Mb/s)
1 32 1.8467e+08 5.93407e+06 176.115
1 64 3.58243e+08 1.15744e+07 341.647
1 128 7.00616e+08 2.27007e+07 668.159
1 256 1.36482e+09 8.16532e+07 1301.59
1 512 2.35612e+09 6.21582e+07 2246.98
1 1024 3.51739e+09 9.10204e+07 3354.44
1 2048 4.7167e+09 1.8439e+08 4498.2
1 4096 7.26981e+09 1.63439e+08 6933.03
1 8192 8.08664e+09 2.83216e+08 7712.02
1 16384 8.03273e+09 2.10814e+08 7660.61
0 32768 6.15324e+09 2.06752e+09 5868.19
1 65536 9.00243e+09 2.77884e+08 8585.39
